*******************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC
**********************************************
$$SOE
 2015-Jun-13 00:00     05 24 44.84 +23 47 46.7
 2015-Jun-14 00:00     05 27 43.41 +23 50 40.2
 2015-Jun-15 00:00     05 30 41.92 +23 53 20.9
 2015-Jun-16 00:00     05 33 40.37 +23 55 48.8
 2015-Jun-17 00:00     05 36 38.75 +23 58 03.8
 2015-Jun-18 00:00     05 39 37.03 +24 00 06.1
 2015-Jun-19 00:00     05 42 35.22 +24 01 55.5
 2015-Jun-20 00:00     05 45 33.29 +24 03 32.1
 2015-Jun-21 00:00     05 48 31.25 +24 04 56.0
 2015-Jun-22 00:00     05 51 29.08 +24 06 07.2
 2015-Jun-23 00:00     05 54 26.78 +24 07 05.7
 2015-Jun-24 00:00     05 57 24.32 +24 07 51.5
 2015-Jun-25 00:00     06 00 21.71 +24 08 24.6
 2015-Jun-26 00:00     06 03 18.94 +24 08 45.1
 2015-Jun-27 00:00     06 06 15.99 +24 08 53.1
 2015-Jun-28 00:00     06 09 12.86 +24 08 48.5
 2015-Jun-29 00:00     06 12 09.54 +24 08 31.4
 2015-Jun-30 00:00     06 15 06.03 +24 08 01.9
 2015-Jul-01 00:00     06 18 02.31 +24 07 19.9
 2015-Jul-02 00:00     06 20 58.39 +24 06 25.6
 2015-Jul-03 00:00     06 23 54.25 +24 05 19.0
 2015-Jul-04 00:00     06 26 49.88 +24 04 00.1
 2015-Jul-05 00:00     06 29 45.29 +24 02 29.0
 2015-Jul-06 00:00     06 32 40.47 +24 00 45.8
 2015-Jul-07 00:00     06 35 35.41 +23 58 50.4
 2015-Jul-08 00:00     06 38 30.10 +23 56 43.1
 2015-Jul-09 00:00     06 41 24.54 +23 54 23.8
 2015-Jul-10 00:00     06 44 18.71 +23 51 52.5
 2015-Jul-11 00:00     06 47 12.62 +23 49 09.5
 2015-Jul-12 00:00     06 50 06.25 +23 46 14.7
 2015-Jul-13 00:00     06 52 59.60 +23 43 08.3
 2015-Jul-14 00:00     06 55 52.65 +23 39 50.2
